aqs_id_full,geoid,area_land
840999999991,360610018002,0.032631
840999999991,360610018005,0.062459
840999999991,360610016002,0.021447
840999999991,360610015012,0.059871
840999999991,360610025004,0.029446
840999999991,360610008002,0.018003
840999999991,360610036022,0.051073
840999999992,360050093011,0.071362
840999999992,360050050014,0.01962
840999999992,360050123006,0.110927
840999999992,360050093022,0.893176
840999999992,360050093014,0.107526
840999999992,360050117011,0.086067
840999999992,360050123005,0.041788
840999999992,360050131004,0.040398
840999999992,360050127011,0.04089
840999999992,360050089001,0.060574
840999999992,360050119003,0.017103
840999999992,360050024000,0
840999999992,360050050011,0.039012
840999999992,360050085004,0.015443
840999999992,360050115023,0.088039
840999999992,360050119005,0.033834
840999999992,360050050022,0.023491
840999999992,360050093016,0.135531
840999999992,360050028004,0.037864
840999999992,360050121021,0.049643
840999999992,360050052002,0.023898
840999999992,360050093021,0.870256
840999999992,360050050021,0.045659
840999999992,360050089002,0.049717
840999999992,360050159002,0.039969
840999999992,360050093013,0.104757
840999999992,360050050013,0.019649
840999999992,360050119001,0.056548
840999999992,360050119004,0.017987
840999999992,360050028003,0.038424
840999999992,360050123004,0.008811
840999999992,360050028001,0.261929
840999999992,360050028002,0.076371
840999999992,360050121011,0.048195
840999999992,360050127012,0.067828
840999999992,360050052001,0.158791
840999999992,360050159001,0.063632
840999999992,360050117021,1.136797
840999999992,360050093015,0.089185
840999999992,360050093012,0.062407
840999999992,360050085001,0.049332
840999999992,360050087002,0.039038
840999999992,360050115022,0.0431
840999999992,360050119002,0.041527
840999999992,360050087001,0.108388
840999999992,360050123003,0.033182
840999999992,360050085005,0.017208
840999999992,360050087004,0.018316
840999999992,360050024001,0.691445
840999999992,360050087003,0.026936
840999999992,360050129011,0.079585
840999999992,360050115021,0.205156
840999999992,360050087005,0.020896
840999999992,360050050012,0.019608
840999999992,360050117020,0
840999999992,360050117012,0.135623
840999999992,360050121012,0.06742
840999999992,360050125001,0.100794
840999999993,360810621003,0.058569
840999999993,360810659001,0.09189
840999999993,360810625001,0.091875
840999999993,360810621001,0.079657
840999999993,360810623001,0.081729
840999999993,360810633011,0.134735
840999999993,360810633021,0.061911
840999999993,360810637002,0.140968
