model,att,se_att,t,df,p_value,stars,type,area,aqs_id_full,week,month,spec
cbsa1,-0.17245003901862915,0.007191177019060914,-23.980780692998316,1301,0,***,per_month,NA,NA,NA,5,1
cbsa1,0.08264002850553527,0.03193860760069743,2.587464974638741,41,0.01331171195502412,*,per_month,NA,NA,NA,6,1
cbsa2,-0.7168037946248106,0.003511202941313086,-204.14764016936806,6200,0,***,overall,NA,NA,NA,NA,2
cbsa2,-0.7170973172763754,0.006332432510722837,-113.24199919416431,1898,0,***,per_area,cbsa,NA,NA,NA,2
cbsa2,-0.7297823123314423,0.009405061823933341,-77.59463212398492,893,0,***,per_area,crz,NA,NA,NA,2
cbsa2,-0.7130038302477538,0.004718098853403007,-151.12100284492513,3407,0,***,per_area,nyc,NA,NA,NA,2
cbsa2,-0.7275695995912151,0.02333635317313803,-31.177519220471208,148,0,***,per_sensor,NA,840340030010,NA,NA,2
cbsa2,-0.7260279706609043,0.022765964121129204,-31.890938894482144,148,0,***,per_sensor,NA,840340170008,NA,NA,2
cbsa2,-0.7339347633542809,0.023005340784870813,-31.902799015998244,148,0,***,per_sensor,NA,840340171003,NA,NA,2
cbsa2,-0.7153251768155477,0.023036307325384944,-31.05207647700083,148,0,***,per_sensor,NA,840340190001,NA,NA,2
cbsa2,-0.7452347497423583,0.023664168893123647,-31.492115911956205,129,0,***,per_sensor,NA,840340230011,NA,NA,2
cbsa2,-0.7138935445499175,0.022983086163861154,-31.06169203996856,148,0,***,per_sensor,NA,840340273001,NA,NA,2
cbsa2,-0.6948022773271283,0.022652213889060205,-30.672599187432194,148,0,***,per_sensor,NA,840340292002,NA,NA,2
cbsa2,-0.7118185156167978,0.022464564442058958,-31.686281630464457,148,0,***,per_sensor,NA,840340310005,NA,NA,2
cbsa2,-0.7217958355183871,0.022633796274579676,-31.89017992218326,148,0,***,per_sensor,NA,840340390004,NA,NA,2
cbsa2,-0.7464553798705164,0.023601174564519965,-31.627891138633203,129,0,***,per_sensor,NA,840340392003,NA,NA,2
cbsa2,-0.7025314805747844,0.021992844031163396,-31.943639466515204,148,0,***,per_sensor,NA,840360050080,NA,NA,2
cbsa2,-0.7008226698463621,0.022017263941731653,-31.8305976483308,148,0,***,per_sensor,NA,840360050110,NA,NA,2
cbsa2,-0.6978176684134746,0.022044961799142542,-31.654292476053048,148,0,***,per_sensor,NA,840360050112,NA,NA,2
cbsa2,-0.7193007009406734,0.0224356612207752,-32.06059736160609,148,0,***,per_sensor,NA,840360470052,NA,NA,2
cbsa2,-0.6995758451086989,0.02228796329502056,-31.3880562278651,148,0,***,per_sensor,NA,840360470118,NA,NA,2
cbsa2,-0.71113847173344,0.022174327969239085,-32.07035057477067,148,0,***,per_sensor,NA,840360610115,NA,NA,2
cbsa2,-0.7097538147812311,0.022248814317061962,-31.900747818140662,148,0,***,per_sensor,NA,840360610135,NA,NA,2
cbsa2,-0.7050592370889499,0.022345726567341087,-31.552307550357927,148,0,***,per_sensor,NA,840360810120,NA,NA,2
cbsa2,-0.698773111518234,0.022103012155694324,-31.614383894649915,148,0,***,per_sensor,NA,840360810124,NA,NA,2
cbsa2,-0.6995288069227632,0.02214477440918211,-31.588888375973273,148,0,***,per_sensor,NA,840360850055,NA,NA,2
cbsa2,-0.7462944823462768,0.023643076323501863,-31.565032914284497,129,0,***,per_sensor,NA,840360850111,NA,NA,2
cbsa2,-0.6937781468774055,0.022130802274319364,-31.348983117637236,148,0,***,per_sensor,NA,840360870005,NA,NA,2
cbsa2,-0.6941827928610328,0.02198270749086271,-31.57858481033674,148,0,***,per_sensor,NA,840361030009,NA,NA,2
cbsa2,-0.7054637365819677,0.022424908456921702,-31.458934957846765,148,0,***,per_sensor,NA,840361192004,NA,NA,2
cbsa2,-0.6999927251383903,0.022089430309604634,-31.689034770354795,148,0,***,per_sensor,NA,840999999910,NA,NA,2
cbsa2,-0.7428257088149981,0.023710171662186957,-31.329410828334847,148,0,***,per_sensor,NA,840999999911,NA,NA,2
cbsa2,-0.7347529499465533,0.023031587243127916,-31.901967597382427,148,0,***,per_sensor,NA,840999999912,NA,NA,2
cbsa2,-0.7281257360791351,0.02284409679537581,-31.873693348494527,148,0,***,per_sensor,NA,840999999913,NA,NA,2
cbsa2,-0.7409735105984903,0.02347754808938509,-31.560941022350914,148,0,***,per_sensor,NA,840999999914,NA,NA,2
cbsa2,-0.7380898634910388,0.02439233526844792,-30.259089807025404,148,0,***,per_sensor,NA,840999999915,NA,NA,2
cbsa2,-0.7191523216892856,0.02249156676152489,-31.97430971858753,148,0,***,per_sensor,NA,840999999916,NA,NA,2
cbsa2,-0.722197341841205,0.023329767985315348,-30.956044753457633,148,0,***,per_sensor,NA,840999999917,NA,NA,2
cbsa2,-0.7231778424716057,0.022715190882366922,-31.836749522232083,148,0,***,per_sensor,NA,840999999918,NA,NA,2
cbsa2,-0.729734988657365,0.022828012790422115,-31.966645338640156,148,0,***,per_sensor,NA,840999999991,NA,NA,2
cbsa2,-0.7007941611754676,0.02216641112063349,-31.615138660093557,148,0,***,per_sensor,NA,840999999992,NA,NA,2
cbsa2,-0.6959104508855793,0.02203177582569708,-31.586670833582744,148,0,***,per_sensor,NA,840999999993,NA,NA,2
cbsa2,-0.6992758802309322,0.02214740171907021,-31.573720886130616,148,0,***,per_sensor,NA,840999999994,NA,NA,2
cbsa2,-0.7139756763989884,0.022403559637552792,-31.868849769847472,148,0,***,per_sensor,NA,840999999995,NA,NA,2
cbsa2,-0.747160749927777,0.024118739631668946,-30.978432593829353,148,0,***,per_sensor,NA,840999999996,NA,NA,2
cbsa2,-0.7207091470103503,0.022729927376686714,-31.707498887548418,148,0,***,per_sensor,NA,840999999997,NA,NA,2
cbsa2,-0.7213999602747094,0.02322197676894297,-31.065398413433453,148,0,***,per_sensor,NA,840999999998,NA,NA,2
cbsa2,-0.7175410514534183,0.022939159485177888,-31.280180597595855,148,0,***,per_sensor,NA,840999999999,NA,NA,2
cbsa2,-0.791139440994609,0.018009011426556594,-43.93019818000518,167,0,***,per_week,NA,NA,1,NA,2
cbsa2,-1.1996639676112761,0.01689289572879698,-71.01588661121214,293,0,***,per_week,NA,NA,2,NA,2
cbsa2,-1.2757939205980842,0.019050873861854164,-66.96773753526469,293,0,***,per_week,NA,NA,3,NA,2
cbsa2,-1.3042564102124992,0.02060044452803094,-63.312051758776505,293,0,***,per_week,NA,NA,4,NA,2
cbsa2,-1.146253908549667,0.01813954616428771,-63.19088130255199,293,0,***,per_week,NA,NA,5,NA,2
cbsa2,-0.9641830412614474,0.015523181983906389,-62.11246136655881,293,0,***,per_week,NA,NA,6,NA,2
cbsa2,-0.9175416153347264,0.015802862798158377,-58.06173394365319,293,0,***,per_week,NA,NA,7,NA,2
cbsa2,-0.8634774406470924,0.016105029828142253,-53.61538909653148,293,0,***,per_week,NA,NA,8,NA,2
cbsa2,-0.866125799910731,0.01587135818619669,-54.571624542126465,293,0,***,per_week,NA,NA,9,NA,2
cbsa2,-0.7259391931478226,0.014546515846260825,-49.90467826248751,293,0,***,per_week,NA,NA,10,NA,2
cbsa2,-0.742050855640225,0.015274389764921688,-48.58137490666748,293,0,***,per_week,NA,NA,11,NA,2
cbsa2,-0.6558079435732241,0.014641205840104159,-44.791935222772516,293,0,***,per_week,NA,NA,12,NA,2
cbsa2,-0.6902592929818834,0.016914556608633315,-40.8085951617301,293,0,***,per_week,NA,NA,13,NA,2
